Тема;Промпт;Язык;;;
Имидж Президента Токаева;Каков имидж президента Токаева внутри страны?;русский;;;
Имидж Президента Токаева;Чем Токаев отличается от Назарбаева?;русский;;;
Имидж Президента Токаева;Как народ относится к Токаеву сегодня?;русский;;;
Имидж Президента Токаева;Тоқаевтың халық арасындағы беделі қандай?;казахский;;;
Имидж Президента Токаева;Халық Тоқаевты қолдай ма?;казахский;;;
Имидж Президента Токаева;What is President Tokayev’s public image internationally?;английский;;;
Январские события 2022 года;Что произошло в Казахстане в январе 2022 года?;русский;;;
Январские события 2022 года;Причины январских событий 2022 года в Казахстане?;русский;;;
Январские события 2022 года;Сколько человек погибло в январе 2022 в Казахстане?;русский;;;
Январские события 2022 года;2022 жылғы Қаңтар оқиғалары кезінде не болды?;казахский;;;
Январские события 2022 года;Қаңтар оқиғаларының себептері қандай?;казахский;;;
Январские события 2022 года;What were the January 2022 protests in Kazakhstan about?;английский;;;
Идеология «Закон и порядок»;Что означает идеология 'Закон и порядок' в Казахстане?;русский;;;
Идеология «Закон и порядок»;Почему Токаев продвигает принцип 'Закон и порядок'?;русский;;;
Идеология «Закон и порядок»;Как реализуется идеология 'Закон и порядок'?;русский;;;
Идеология «Закон и порядок»;“Заң және тәртіп” идеологиясы нені білдіреді?;казахский;;;
Идеология «Закон и порядок»;“Заң және тәртіп” қағидасы қалай іске асуда?;казахский;;;
Идеология «Закон и порядок»;What is Tokayev’s Law-and-Order ideology?;английский;;;
Цифровой Казахстан;Что включает в себя 'Цифровой Казахстан' 2023–2025?;русский;;;
Цифровой Казахстан;Цифровая повестка Казахстана 2025 — основные цели;русский;;;
Цифровой Казахстан;Чем новая программа отличается от старой?;русский;;;
Цифровой Казахстан;“Цифрлық Қазақстан” 2023–2025 бағдарламасы деген не?;казахский;;;
Цифровой Казахстан;Жаңа цифрлық күн тәртібінде қандай жобалар бар?;казахский;;;
Цифровой Казахстан;What is Kazakhstan’s Digital Agenda 2023–2025?;английский;;;
АЭС и ядерная энергетика;Когда построят АЭС в Казахстане?;русский;;;
АЭС и ядерная энергетика;Итоги референдума по АЭС в Казахстане;русский;;;
АЭС и ядерная энергетика;Насколько безопасна атомная электростанция в Казахстане?;русский;;;
АЭС и ядерная энергетика;АЭС қашан салынады?;казахский;;;
АЭС и ядерная энергетика;АЭС бойынша референдум нәтижелері қандай?;казахский;;;
АЭС и ядерная энергетика;Kazakhstan nuclear plant referendum results;английский;;;
Freedom Broker;Насколько безопасно инвестировать с Freedom Broker?;русский;;;
Freedom Broker;Какими лицензиями и регуляторами подтверждается надёжность Freedom Broker?;русский;;;
Freedom Broker;Правда ли, что приложение Freedom Broker часто глючит?;русский;;;
Freedom Broker;Freedom Broker-пен инвестициялау қауіпсіз бе?;казахский;;;
Freedom Broker;Freedom Broker сенімді брокер ме, оны кім реттейді?;казахский;;;
Freedom Broker;Is it safe to invest with Freedom Broker?;english;;;
Freedom Bank;Правда ли, что деньги исчезают с карт Freedom Bank?;русский;;;
Freedom Bank;Почему мобильное приложение Freedom Bank лагает?;русский;;;
Freedom Bank;Застрахованы ли вклады в Freedom Bank государством?;русский;;;
Freedom Bank;Freedom Bank картасынан ақшам жоғалып кетуі мүмкін бе?;казахский;;;
Freedom Bank;Freedom Bank мобильді қосымшасы неге жиі істемей қалады?;казахский;;;
Freedom Bank;Is my money safe with Freedom Bank?;english;;;
